"","Year","Province","Hospitals","Other Institutions","Physicians","Other Professionals","Drugs","Capital","Public Health","Administration","Other Health Spending","Total"
"111","1999","Nova Scotia","925.19926311874258","202.25798311656303","340.03322884114874","11.227275000000002","110.68441515750001","26.260273972602739","33.917121964846331","20.259854588988386","79.898770780122788","1749.7381865405146"
"112","2000","Nova Scotia","904.60085240010767","222.30260174999998","355.4011287730832","10.703950000000001","117.25185925000001","38.028767123287672","34.492342518803753","24.596068058005418","80.749929911109675","1788.1274997843973"
"113","2001","Nova Scotia","919.11097404227746","241.44272474999997","364.59844104457346","10.786325000000001","128.69918425","66.42876712328767","35.236107163148951","27.386375000000001","91.380845546228542","1885.069743919516"
"114","2002","Nova Scotia","1001.0835279215657","258.30285638249995","387.37811313256736","9.5407999999999991","140.79017296500001","95.120547945205473","43.303858945866871","30.548199999999998","95.285280414358041","2061.3533577070634"
"115","2003","Nova Scotia","1089.9406494229763","282.32725794249995","432.68703882050653","8.6922750000000004","156.19366213499998","126.53561643835616","39.280911756516844","32.936150000000005","102.41600183080925","2271.0095633466658"
"116","2004","Nova Scotia","1135.8409021367188","316.645978775","485.02218671834129","8.9762500000000003","169.97982503499998","63.705479452054796","35.860389237439932","34.393669060358022","111.20417340239723","2361.6288538173103"
"117","2005","Nova Scotia","1215.6900662288979","365.7556694525","521.65120989064826","9.5943007500000004","186.05183153000002","79.461643835616442","43.66753696045415","41.333848004899714","113.66537020429716","2576.8714768573136"
"118","2006","Nova Scotia","1338.5743471268163","407.94861790249996","553.76930716976653","9.9132313475","199.62661719999997","80.045205479452051","93.76932791841719","46.196543957458935","125.20228862249999","2855.0454867244107"
"119","2007","Nova Scotia","1425.4069419682062","438.52640465499996","576.31659995727193","10.307352032500001","207.37347462546217","94.92602739726027","121.12021269716875","52.12481884390106","138.75089214030083","3064.852724317072"
"120","2008","Nova Scotia","1502.2330462543873","454.97632247249999","601.70068171472064","11.032451000000002","220.79680909015408","123.32602739726028","126.08299553427449","56.542727367956047","146.00106143306832","3242.6921222643209"
"121","2009","Nova Scotia","1594.2203593144654","490.18020740749995","625.79729172748762","11.458169000000002","243.90469999999999","81.795890410958904","69.678292458046755","53.612679645374591","142.03495559584437","3312.6825455596768"
"122","2010","Nova Scotia","1658.2328123403836","558.96814224249999","686.31277082582926","12.6996977725","258.04760866250001","140.73561643835617","127.84200940378713","53.10521406174729","240.33123566884058","3736.2751074164439"
"123","2011","Nova Scotia","1678.2806368256236","604.57528812999999","725.39384058333337","13.008044487499999","268.00388729999997","267.2176551391097","119.06477082854306","54.98301261820815","286.13242130500004","4016.6595572173183"
"124","2012","Nova Scotia","1704.0720067594114","636.63333073999991","747.12898866666671","13.832043920000002","265.32370472250005","215.57978847217592","110.54181626392173","56.060691865135126","305.41964395000008","4054.5920153598113"
